Name,Description,Price,Type,Rarity,Total Health,Total Stamina,Total Mana,Physical Strength,Magical Strength,Physical Resistance,Magical Resistance,Fire Strength,Frost Strength,Shock Strength,Fire Resistance,Frost Resistance,Shock Resistance,Total Base Stats ,Total Active Stats Are Balanced
Rusty Axe,Basic axe your grandfather owned,50,WEAPON,COMMON,0,0,0,50,-50,0,0,0,0,0,0,0,0,TRUE,TRUE
Taped Wand,Some stick found in the forest and declared to have magical properties,50,WEAPON,COMMON,0,0,0,-20,20,0,0,0,0,0,0,0,0,TRUE,TRUE
Stick,Basically a taped wand but without the magic,50,WEAPON,COMMON,0,0,0,20,-20,0,0,0,0,0,0,0,0,TRUE,TRUE
Lumberaxe,Used for chopping wood and heads,50,WEAPON,COMMON,0,0,0,50,-50,0,0,0,0,0,0,0,0,TRUE,TRUE
Talwaar,A curved blade from the Indian Subcontinent designed to take lives ,50,WEAPON,COMMON,0,0,0,60,-60,0,0,0,0,0,0,0,0,TRUE,TRUE
Wooden Shield,Used to bash people and block blows,50,WEAPON,COMMON,0,0,0,25,-25,50,-12.5,0,0,0,-12.5,-12.5,-12.5,TRUE,TRUE
Iron Mace,Bash skulls with a hardy mace,50,WEAPON,COMMON,0,0,0,50,-50,0,0,0,0,0,0,0,0,TRUE,TRUE
Steel Platter,For serving up enemies with a side of whooping,50,WEAPON,COMMON,0,0,0,25,-25,10,5,-10,-10,-10,5,5,5,TRUE,TRUE
Plastic Cape,When you have too many garbage bags,50,ARMOR,COMMON,-20,0,20,0,0,-20,20,0,0,0,0,0,0,TRUE,TRUE
Cloth Armor,Piece of cloth your grandmother knitted,50,ARMOR,COMMON,30,-15,-15,0,0,20,-20,0,0,0,0,0,0,TRUE,TRUE
Bed Sheet,Wrap it around your shoulders and be Superman!,50,ARMOR,COMMON,50,-25,-25,50,-40,-10,0,0,0,0,0,0,0,TRUE,TRUE
Garbage Bag,Garbage bag starts with a G...even I know that and I can't even spell garbage!,50,ARMOR,COMMON,50,-30,-20,30,-10,0,-10,0,0,0,-10,0,0,TRUE,TRUE
Cardboard Hat,It's effective against the rain...for 10 seconds.,50,ARMOR,COMMON,50,-40,-10,30,0,-30,0,0,0,0,0,0,0,TRUE,TRUE
Printer Paper,Mass produced and good source of fiber.,50,ARMOR,COMMON,20,-10,-10,100,-20,-20,-20,0,0,0,-20,-20,0,TRUE,TRUE
Wood,Wood,50,ARMOR,COMMON,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Cotton Jacket,$14.99,50,ARMOR,COMMON,40,50,-90,0,0,30,30,-20,-20,-20,0,0,0,TRUE,TRUE
Nethersprite Dagger,A dagger that can slice and dice while simultaneously setting the target aflame,100,WEAPON,RARE,0,0,50,200,0,-100,-50,0,0,0,0,0,0,TRUE,TRUE
Unicorn Staff,Unicorn horn.,100,WEAPON,RARE,0,0,50,0,0,0,0,0,100,-50,0,0,0,TRUE,TRUE
Occult Sword,Sword from the shadow cult.,100,WEAPON,RARE,0,0,50,200,0,-75,-75,0,0,0,0,0,0,TRUE,TRUE
Shadow Blade,A blade which kills in the dark,100,WEAPON,RARE,0,50,0,200,0,-50,-50,20,20,20,-10,-50,-50,TRUE,TRUE
